,AAPL,ABBV,ADBE,AMZN,BAC,COST,CRM,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MRK,MSFT,NFLX,NVDA,PEP,PG,T,TSLA,UNH,V,WMT,XOM
AAPL,0.0003348450558004811,0.0001037215454115112,0.0002394660755535345,0.00022803914009234883,0.00013364391470333594,0.00011795190097142185,0.00020899097130182048,0.00010742108099682862,0.00011733836727023684,0.00020689616910870255,0.00013480531677401177,0.0002058654614148105,7.946393643266407e-05,0.00011714517705369736,7.248656756786297e-05,0.00018778231972009661,0.00022608758972983003,8.109740400160595e-05,0.00021717232266015756,0.0002193585986557762,0.0003256078010376286,8.384730334146613e-05,7.151015759086589e-05,7.205732194393624e-05,0.00028114199152011704,0.00013193013167829332,0.00016778344524481843,7.393046244828234e-05,0.00011103062884856916
ABBV,0.0001037215454115112,0.00024786650516135693,0.00011297383714045371,8.794376678091946e-05,0.00010930639361167586,6.567957092274438e-05,0.00010687457586359256,0.00010864885455047932,8.442144619261788e-05,0.0001224148525285713,9.038197608096923e-05,0.0001310867147871881,8.631574189527494e-05,9.592935709696315e-05,7.031949497034951e-05,0.00011901429947885003,0.0001021187493690869,0.00010576380011278375,0.00011165334206697152,8.846195611806355e-05,0.0001547977130904911,7.106458966476047e-05,6.237712407742285e-05,8.280592172956083e-05,0.00011896764440209313,0.0001197169509767392,0.0001104026941303378,5.2141730698333025e-05,0.00010473626102455906
ADBE,0.0002394660755535345,0.00011297383714045371,0.0003914506579896963,0.0002651174439814456,0.00011351271650482995,0.00013244423378526286,0.0002982816171409384,9.06791677497924e-05,0.00012054567302923108,0.0002385238082543045,0.0001450545984668195,0.00021143713442112424,7.453649309394063e-05,9.382548691541331e-05,7.558826695453699e-05,0.0002207318116585182,0.0002565779925915283,9.16451050345994e-05,0.0002634487920170009,0.0002911820264090578,0.00038012415640063194,8.302009149888947e-05,6.698913389203706e-05,5.1752695198140024e-05,0.0003222575665622218,0.00013439283102109316,0.00020277818517639324,7.251948228006849e-05,8.689976579426746e-05
AMZN,0.00022803914009234883,8.794376678091946e-05,0.0002651174439814456,0.0003595183933820033,0.00010213100147991058,0.00011768251575412503,0.00023680061788421052,8.098546680261608e-05,0.0001059279827746465,0.00022187895354818188,0.00012130043900721973,0.00018895222016232784,6.17421235428913e-05,8.555054322337308e-05,4.742009801519698e-05,0.00018368839312273263,0.0002491615278055486,6.411054996005397e-05,0.00022487304148438556,0.0002937075448824376,0.00033892082834316515,6.288788261712836e-05,5.464186734064828e-05,4.650334350560009e-05,0.000276391232722403,0.00011503360304065553,0.0001576402044207227,7.112636512500816e-05,7.607602353710887e-05
BAC,0.00013364391470333594,0.00010930639361167586,0.00011351271650482995,0.00010213100147991058,0.00037044389658275723,7.133283697650368e-05,0.00013284529937782896,0.0002147285184423632,0.00017583458539472896,0.00014630859714228857,0.0001269583475111268,0.00017599128891027037,8.050440893694694e-05,0.00029441085247236537,0.00010329051404153462,0.0001808282694591583,0.00013036420453025604,8.965178164124462e-05,0.00012501202526726433,0.00010161530468977568,0.00018398393630283605,6.584493329576332e-05,6.286928953708322e-05,0.00014971874994827085,0.00016645929129833047,0.0001439159171732522,0.00016840229914806556,5.898726753303254e-05,0.00023380573849697051
COST,0.00011795190097142185,6.567957092274438e-05,0.00013244423378526286,0.00011768251575412503,7.133283697650368e-05,0.00015276450848446442,0.00010714580997563798,6.07867771065035e-05,6.726577717047083e-05,0.00010553523875931505,0.00010077993754596413,0.00011475130807752565,6.482855976593312e-05,6.534160794672497e-05,6.0337354157328195e-05,9.649272613781407e-05,0.00010929400434306107,6.0750663589641854e-05,0.00011830244913725703,0.00012185850086716591,0.0001685725746074012,7.095627196587407e-05,6.596148666241568e-05,5.939035896373607e-05,0.00012609012767699927,8.660216807247325e-05,9.118998105008595e-05,8.709124562865141e-05,5.99644075497319e-05
CRM,0.00020899097130182048,0.00010687457586359256,0.0002982816171409384,0.00023680061788421052,0.00013284529937782896,0.00010714580997563798,0.0003880298450024069,0.00010176023616587443,0.00012506333027324047,0.00021576963800368768,0.0001317710470041405,0.0001887103564381269,6.965837166280463e-05,0.00011212921291556708,7.056335858960889e-05,0.00022053350240665764,0.00023039174640584288,8.753255919613248e-05,0.00023596465114401964,0.000258221077807872,0.0003336758364084779,7.356798858367535e-05,6.402931538865105e-05,7.080508801379139e-05,0.0002993281843154493,0.00012105139220226607,0.0001942717996631385,6.379844499545283e-05,9.707549489996613e-05
CVX,0.00010742108099682862,0.00010864885455047932,9.06791677497924e-05,8.098546680261608e-05,0.0002147285184423632,6.07867771065035e-05,0.00010176023616587443,0.0003007512602264452,0.0001382683022698119,0.0001286828772454705,0.0001001317696318591,0.00015451206538694088,7.628412320207519e-05,0.00018678325693091433,9.186742334389449e-05,0.0001563099138252209,0.00010929296946890401,8.597957224574952e-05,0.00010602613196676836,7.622838208023457e-05,0.00015701605156582998,5.865919000971833e-05,5.375646256108583e-05,0.0001175258701710386,0.00013534486853933217,0.00012422006209239972,0.0001450012975473022,5.126248695235254e-05,0.0002723548295104358
DIS,0.00011733836727023684,8.442144619261788e-05,0.00012054567302923108,0.0001059279827746465,0.00017583458539472896,6.726577717047083e-05,0.00012506333027324047,0.0001382683022698119,0.0002723146346545948,0.00013545490845883102,0.00010921539681855636,0.0001422036523206649,6.428318711337793e-05,0.00015651027483942642,9.083156316598307e-05,0.0001735522624178447,0.0001328051691340421,6.826990875142594e-05,0.00012015726981802164,0.00010648281310593916,0.00015594993053296078,6.622709233815271e-05,5.938532220207967e-05,0.00010759909441634358,0.00015670219263416949,0.00010317343641272597,0.00015645680754417898,5.012067281315658e-05,0.00015267717802098824
GOOGL,0.00020689616910870255,0.0001224148525285713,0.0002385238082543045,0.00022187895354818188,0.00014630859714228857,0.00010553523875931505,0.00021576963800368768,0.0001286828772454705,0.00013545490845883102,0.0002918128824914485,0.0001288981438817841,0.00019588504871581805,8.226720727188034e-05,0.00012802001215652105,8.186366929081609e-05,0.0001959543829028764,0.00024932434941009356,8.505297292630872e-05,0.00021974150833621483,0.00021736943371498802,0.000303652027686454,7.89578394049204e-05,6.801324594313389e-05,7.964572989276512e-05,0.00023096538136577427,0.00013642656492444756,0.00017936251988262054,6.403916767898024e-05,0.00013268952077890374
