ticker,first_valid_date,last_valid_date,missing_ratio,kept
AAPL,2018-01-02,2025-12-31,0.0,True
ABBV,2018-01-02,2025-12-31,0.0,True
ADBE,2018-01-02,2025-12-31,0.0,True
AMZN,2018-01-02,2025-12-31,0.0,True
BAC,2018-01-02,2025-12-31,0.0,True
COST,2018-01-02,2025-12-31,0.0,True
CRM,2018-01-02,2025-12-31,0.0,True
CSCO,2018-01-02,2025-12-31,0.0,True
CVX,2018-01-02,2025-12-31,0.0,True
DIS,2018-01-02,2025-12-31,0.0,True
GOOGL,2018-01-02,2025-12-31,0.0,True
HD,2018-01-02,2025-12-31,0.0,True
INTC,2018-01-02,2025-12-31,0.0,True
JNJ,2018-01-02,2025-12-31,0.0,True
JPM,2018-01-02,2025-12-31,0.0,True
KO,2018-01-02,2025-12-31,0.0,True
MA,2018-01-02,2025-12-31,0.0,True
META,2018-01-02,2025-12-31,0.0,True
MRK,2018-01-02,2025-12-31,0.0,True
MSFT,2018-01-02,2025-12-31,0.0,True
NFLX,2018-01-02,2025-12-31,0.0,True
NVDA,2018-01-02,2025-12-31,0.0,True
PEP,2018-01-02,2025-12-31,0.0,True
PG,2018-01-02,2025-12-31,0.0,True
T,2018-01-02,2025-12-31,0.0,True
TSLA,2018-01-02,2025-12-31,0.0,True
UNH,2018-01-02,2025-12-31,0.0,True
V,2018-01-02,2025-12-31,0.0,True
WMT,2018-01-02,2025-12-31,0.0,True
XOM,2018-01-02,2025-12-31,0.0,True
