,AAPL,ABBV,ADBE,AMZN,BAC,COST,CRM,CSCO,CVX,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MRK,MSFT,NFLX,NVDA,PEP,PG,T,TSLA,UNH,V,WMT,XOM
gamma=0.2,3.352739687529655e-08,2.3473021060553543e-08,3.028920023121979e-08,3.0080227433031014e-08,2.6883475788375074e-08,2.9274933506927726e-08,2.8919150306944564e-08,2.5293521965780668e-08,2.1873232938120165e-08,2.230509129685216e-08,2.8568108791715352e-08,2.755104312693493e-08,2.5075477337011882e-08,2.2086334936843735e-08,2.268030933060317e-08,2.249576818165461e-08,2.6672829542345477e-08,2.803296684583953e-08,2.2606086980632147e-08,3.153440533872228e-08,3.6049474945876616e-08,3.0858843235531525e-08,2.2830877171898863e-08,2.29166313860575e-08,2.0625039758532225e-08,0.9999992441281651,2.517095316854581e-08,2.489556293643045e-08,2.239323227249433e-08,2.0908638072819643e-08
gamma=0.35,1.0052954191414222e-08,9.691631597847251e-09,1.2680651575409303e-08,1.2466323743395969e-08,1.105640599954115e-08,1.0971724931902606e-08,1.2086337095103143e-08,1.0454971539197438e-08,9.230104253881553e-09,9.484716744446114e-09,1.1630429823604499e-08,1.0668967772338803e-08,1.0770450234336224e-08,9.300033764578098e-09,9.450814065624447e-09,9.306477575785577e-09,1.0903882145819313e-08,1.184116366811055e-08,9.419544668798592e-09,9.745696250233306e-09,1.5456646897583235e-08,1.8072498468263694e-08,9.508798134442616e-09,9.471618727346018e-09,8.794304502495751e-09,0.99999968856504,1.0055105266428261e-08,1.0459002970410627e-08,9.447292573792545e-09,8.9564106627452e-09
gamma=0.6,4.974320961863974e-09,5.605519975474697e-09,8.077523321019225e-09,7.651520093811333e-09,8.229795907159095e-09,4.964421197053516e-09,7.569245048539099e-09,6.202928505502517e-09,5.8691914110531605e-09,6.1431971235519694e-09,6.802223059303089e-09,5.318146409933608e-09,7.217255541964583e-09,5.711783950679269e-09,5.750529133351497e-09,5.3383852524585974e-09,6.415545165924807e-09,7.552946913844794e-09,5.585746295451605e-09,4.312100214551058e-09,1.3554561300749365e-08,6.916215157395874e-08,5.598311674093674e-09,5.3899458943249735e-09,5.71418548046015e-09,0.9999997516201184,5.330096925276277e-09,6.5598314217483e-09,5.796981491278189e-09,5.9814902836601925e-09
gamma=1,1.2751950018670203e-07,5.974425983598012e-08,9.546616508914273e-08,9.41732374415748e-08,7.478157940796209e-08,4.9884328066705794e-08,8.380111144757642e-08,6.769859400259336e-08,5.6215123120214324e-08,5.8229770215464905e-08,8.044259833817495e-08,6.054998899942157e-08,7.020127305743532e-08,5.7770432935377484e-08,5.7862897384657775e-08,5.586591452752571e-08,7.017909134547739e-08,8.277352420523224e-08,5.80334586027397e-08,7.4062276772739e-08,1.5069598597950248e-07,2.5332784709968646e-06,5.920072353290013e-08,5.7931679176406654e-08,5.278399567011466e-08,0.9999954698276061,5.983933438497569e-08,6.74717930412825e-08,5.992691060044404e-08,5.3788375573584244e-08
gamma=1.7,1.2583525455287096e-07,2.7596159446852865e-08,4.9000023563709796e-08,5.054504352653169e-08,3.323104216702e-08,3.017593857391135e-08,4.1285796969533245e-08,3.227386142093478e-08,2.4574684419118118e-08,2.5735755456853154e-08,4.130460726507139e-08,3.2062808576326226e-08,3.1710220683714633e-08,2.6373928962931898e-08,2.5771451547028936e-08,2.5156559151545444e-08,3.368028833625176e-08,4.067638437128898e-08,2.64447601127604e-08,6.689597274248221e-08,8.085080858107156e-08,0.19716433798222072,2.7371036014220673e-08,2.6584568147423733e-08,2.3189774594670557e-08,0.8028346025213354,2.8845268256984516e-08,3.1155640265921906e-08,2.8124956901106414e-08,2.3043849228872527e-08
gamma=3,0.08542374016723177,1.7982100534497914e-08,1.644130633079666e-08,2.0541359032965173e-08,1.3758843895849743e-08,3.033746710717034e-07,1.4809547459931172e-08,1.7005315433275597e-08,1.0227011723791385e-08,9.833494935207954e-09,2.000873500603675e-08,3.978205147050103e-08,9.275203538882575e-09,1.4184610959248396e-08,1.2917672949511503e-08,2.014474956489066e-08,1.596385782111434e-08,1.4385295679953836e-08,1.6824336710276292e-08,1.4070416139799703e-07,2.8067136232817927e-08,0.36387183237172943,1.8675548898728095e-08,2.315022297429455e-08,9.239441970721695e-09,0.5507035552919897,2.920173463674045e-08,1.2602828476039273e-08,1.5238361223848947e-08,7.829449220219172e-09
gamma=5,0.15793663435181102,8.794772370670491e-07,4.296703374558685e-07,6.063528082965292e-07,5.277315294531578e-07,0.31889918948227763,4.259227512752294e-07,5.547618828656923e-07,3.157702272298362e-07,2.9249950829938503e-07,6.841575465062596e-07,6.2177216148435115e-06,2.3282574228220212e-07,5.312325503549928e-07,4.49923699101489e-07,1.3183413229755009e-06,5.215983256369605e-07,3.9855603107843667e-07,7.856492022272709e-07,0.002869260315966843,1.0524891342074192e-06,0.18342338402674818,8.787785529592747e-07,1.8558176680921055e-06,2.788700771995561e-07,0.33684827425930336,2.904420565635816e-06,3.7897983928241833e-07,5.160581607169135e-07,2.1995757795600659e-07
gamma=8,0.12825632826614813,4.124690147529594e-06,4.684627893105729e-07,7.370225119257693e-07,9.02841703297739e-07,0.4098000164592277,5.087787373299515e-07,7.302843098700237e-07,4.786257538741163e-07,4.0710541467049994e-07,8.732346986493487e-07,0.03914546446928533,2.788827728547345e-07,1.0615372137593427e-06,7.773003877365771e-07,0.00016738511200153412,6.662593792763078e-07,4.810223268271154e-07,2.996720186599825e-06,0.0580697314933431,1.367847202882394e-06,0.07183552820695796,2.5903954962459843e-06,0.07621282623098573,4.095455996469101e-07,0.21256155086231063,0.003929628485619773,4.926521638042729e-07,8.845854758902711e-07,3.0261984818887413e-07
gamma=13,0.09087132816269222,0.012552489145574651,6.097036612707813e-07,1.5340248276980943e-06,1.2903473302931648e-06,0.35895845828756723,7.202538163289972e-07,9.487018639374528e-07,6.425639166748336e-07,5.132813400253127e-07,1.2763049230468925e-06,0.056776904289450474,3.3345480455354373e-07,2.961865235514726e-06,1.1876922821675885e-06,0.09645766509508101,7.345021169974242e-07,6.798225902993119e-07,0.0058405022390030994,0.0393122648023934,9.109491596233148e-06,0.019749280190203014,6.221884452157379e-06,0.16616320882829527,5.566815377928313e-07,0.1329676392376952,0.02031762252083137,5.951320763644709e-07,2.3468903523917473e-06,3.7460248931883e-07
gamma=20,0.06598953220254422,0.03625928486663012,9.761648174626855e-08,6.897997294539751e-07,2.3037027347231317e-07,0.3136587880491196,1.4644600504554735e-07,1.560935484051926e-07,1.6424666420722595e-07,1.1933996237334018e-07,2.392225084181377e-07,0.05810640171616774,5.220305079162319e-08,1.544909703102206e-06,3.1364380125292226e-07,0.14106517889760442,1.209860912622287e-07,1.4408633303884964e-07,0.05295488855433229,0.011263120966582173,0.005741966199457012,1.9389481023362708e-06,1.8816699544517284e-06,0.19439145374032912,1.2012477771129855e-07,0.08713473587051165,0.016290586177486077,1.0320798111282033e-07,0.017135922421771303,7.742249587141189e-08
